REF_DATE,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
1986-01-01,69.3,70.9,60.6,59.1,67.3,76.0,65.1,77.5,76.0
1986-02-01,70.3,70.8,61.3,59.1,66.9,77.6,64.2,78.1,68.4
1986-03-01,70.6,71.1,61.3,59.3,67.0,79.2,64.2,78.6,66.2
1986-04-01,71.3,71.0,61.4,59.7,67.7,82.2,63.6,79.5,71.1
1986-05-01,71.2,71.4,61.9,59.9,68.2,83.5,64.0,79.8,75.3
1986-06-01,71.1,71.1,62.0,60.0,68.4,83.1,64.9,79.9,74.1
1986-07-01,71.7,71.3,62.2,60.6,69.2,84.8,66.5,80.2,75.7
1986-08-01,71.9,71.5,62.7,60.9,69.5,86.7,67.8,80.2,71.9
1986-09-01,71.7,71.8,63.1,60.9,69.9,83.8,71.3,80.8,66.6
1986-10-01,71.1,71.8,63.6,61.3,70.2,82.9,71.5,81.0,70.7
1986-11-01,71.6,72.1,65.3,61.6,70.6,78.9,72.1,79.9,78.0
1986-12-01,72.2,72.5,65.9,61.7,70.5,76.1,72.9,78.8,75.9
1987-01-01,72.6,72.5,67.1,62.1,71.2,77.4,72.8,81.0,79.6
1987-02-01,72.3,72.8,67.5,62.1,71.2,79.4,71.0,81.1,82.7
1987-03-01,72.8,72.4,67.6,62.3,71.2,79.6,70.5,81.9,81.3
1987-04-01,72.6,72.2,67.6,62.3,71.2,79.3,71.2,81.3,80.9
1987-05-01,73.2,72.4,67.8,62.7,71.8,82.6,72.0,79.8,84.3
1987-06-01,72.6,72.4,67.9,62.3,72.6,88.2,73.0,79.3,90.6
1987-07-01,73.7,72.4,68.4,62.7,72.8,87.8,73.4,79.8,88.5
1987-08-01,73.6,72.9,69.0,62.9,72.1,85.9,74.6,80.3,71.5
1987-09-01,73.3,73.5,69.3,63.1,71.7,83.0,73.8,80.2,70.1
