ds,Bakery and cereal products (excluding baby food)
2021-10-01,159.63644409179688
2021-11-01,158.6348419189453
2021-12-01,159.183349609375
2022-01-01,156.7398681640625
2022-02-01,155.40573120117188
2022-03-01,158.55642700195312
2022-04-01,161.0498504638672
2022-05-01,159.32000732421875
2022-06-01,161.72203063964844
2022-07-01,157.1630859375
2022-08-01,159.97772216796875
2022-09-01,159.33132934570312
2022-10-01,164.81271362304688
2022-11-01,162.63165283203125
2022-12-01,166.24923706054688
2023-01-01,164.48013305664062
2023-02-01,159.99444580078125
2023-03-01,165.3048858642578
