ds,Bakery and cereal products (excluding baby food)
2021-10-01,157.49249267578125
2021-11-01,157.15907287597656
2021-12-01,157.45399475097656
2022-01-01,156.56781005859375
2022-02-01,157.66136169433594
2022-03-01,157.94961547851562
2022-04-01,159.2578125
2022-05-01,157.54281616210938
2022-06-01,157.89279174804688
2022-07-01,160.04995727539062
2022-08-01,158.60797119140625
2022-09-01,158.231689453125
2022-10-01,159.8565673828125
2022-11-01,160.01309204101562
2022-12-01,160.92337036132812
2023-01-01,159.7276611328125
2023-02-01,160.007080078125
2023-03-01,160.6737823486328
