ds,Bakery and cereal products (excluding baby food)
2021-10-01,154.07400512695312
2021-11-01,153.09078979492188
2021-12-01,154.63677978515625
2022-01-01,153.2809600830078
2022-02-01,154.21136474609375
2022-03-01,154.3482208251953
2022-04-01,156.23179626464844
2022-05-01,156.13204956054688
2022-06-01,155.29949951171875
2022-07-01,155.7159423828125
2022-08-01,155.4634552001953
2022-09-01,155.63816833496094
2022-10-01,156.51303100585938
2022-11-01,156.0689239501953
2022-12-01,156.88441467285156
2023-01-01,155.25433349609375
2023-02-01,157.41558837890625
2023-03-01,156.70751953125
