ds,"Fish, seafood and other marine products"
2021-10-01,150.82179260253906
2021-11-01,152.4091339111328
2021-12-01,149.09130859375
2022-01-01,152.7425537109375
2022-02-01,151.28555297851562
2022-03-01,152.0806121826172
2022-04-01,153.49667358398438
2022-05-01,154.33480834960938
2022-06-01,155.1255340576172
2022-07-01,154.94210815429688
2022-08-01,157.29966735839844
2022-09-01,155.16172790527344
2022-10-01,153.24099731445312
2022-11-01,155.69529724121094
2022-12-01,153.432861328125
2023-01-01,155.05592346191406
2023-02-01,155.8512420654297
2023-03-01,155.60458374023438
