ds,"Fish, seafood and other marine products"
2021-10-01,147.41790771484375
2021-11-01,148.0681610107422
2021-12-01,145.86318969726562
2022-01-01,147.77142333984375
2022-02-01,150.05126953125
2022-03-01,149.60678100585938
2022-04-01,151.40042114257812
2022-05-01,149.29244995117188
2022-06-01,152.8848114013672
2022-07-01,150.09811401367188
2022-08-01,149.69993591308594
2022-09-01,150.1950225830078
2022-10-01,153.47235107421875
2022-11-01,149.54718017578125
2022-12-01,151.68890380859375
2023-01-01,151.63870239257812
2023-02-01,149.48486328125
2023-03-01,152.63494873046875
