ds,"Fruit, fruit preparations and nuts"
2021-10-01,139.17144775390625
2021-11-01,139.8697509765625
2021-12-01,141.6754150390625
2022-01-01,141.64630126953125
2022-02-01,141.209228515625
2022-03-01,140.18527221679688
2022-04-01,140.20883178710938
2022-05-01,143.21298217773438
2022-06-01,142.80108642578125
2022-07-01,144.14828491210938
2022-08-01,143.49569702148438
2022-09-01,142.8349609375
2022-10-01,141.40785217285156
2022-11-01,143.60140991210938
2022-12-01,143.88739013671875
2023-01-01,145.37405395507812
2023-02-01,144.49734497070312
2023-03-01,143.3983612060547
