ds,"Fruit, fruit preparations and nuts"
2021-10-01,143.6256103515625
2021-11-01,144.9302520751953
2021-12-01,147.73336791992188
2022-01-01,150.18527221679688
2022-02-01,147.30764770507812
2022-03-01,148.84970092773438
2022-04-01,148.2572021484375
2022-05-01,149.74627685546875
2022-06-01,150.23974609375
2022-07-01,150.77163696289062
2022-08-01,149.58209228515625
2022-09-01,146.46217346191406
2022-10-01,148.81515502929688
2022-11-01,151.083251953125
2022-12-01,154.2349853515625
2023-01-01,154.4656982421875
2023-02-01,154.71749877929688
2023-03-01,153.84866333007812
