ds,Meat
2021-10-01,180.03408813476562
2021-11-01,176.00051879882812
2021-12-01,179.11245727539062
2022-01-01,180.78631591796875
2022-02-01,181.1719970703125
2022-03-01,183.45755004882812
2022-04-01,186.26568603515625
2022-05-01,185.95132446289062
2022-06-01,182.67507934570312
2022-07-01,182.60946655273438
2022-08-01,187.91384887695312
2022-09-01,182.71424865722656
2022-10-01,180.85595703125
2022-11-01,184.53677368164062
2022-12-01,182.6314697265625
2023-01-01,182.99749755859375
2023-02-01,184.83489990234375
2023-03-01,183.758544921875
