ds,Other food products and non-alcoholic beverages
2021-10-01,141.1874542236328
2021-11-01,143.1837615966797
2021-12-01,139.71951293945312
2022-01-01,142.92526245117188
2022-02-01,145.7740478515625
2022-03-01,147.56890869140625
2022-04-01,145.12704467773438
2022-05-01,147.6402587890625
2022-06-01,145.7447509765625
2022-07-01,148.35525512695312
2022-08-01,148.11227416992188
2022-09-01,146.99893188476562
2022-10-01,147.22189331054688
2022-11-01,145.3709716796875
2022-12-01,147.44261169433594
2023-01-01,148.59967041015625
2023-02-01,149.95172119140625
2023-03-01,151.0279083251953
