ds,Other food products and non-alcoholic beverages
2021-10-01,138.8621826171875
2021-11-01,139.5874481201172
2021-12-01,139.57778930664062
2022-01-01,140.7576904296875
2022-02-01,139.7333526611328
2022-03-01,140.74609375
2022-04-01,139.9553680419922
2022-05-01,140.16949462890625
2022-06-01,141.33885192871094
2022-07-01,141.4949951171875
2022-08-01,141.48037719726562
2022-09-01,141.16860961914062
2022-10-01,141.76368713378906
2022-11-01,142.89666748046875
2022-12-01,142.62521362304688
2023-01-01,143.78768920898438
2023-02-01,145.0645751953125
2023-03-01,145.09002685546875
