ds,Vegetables and vegetable preparations
2021-10-01,146.57174682617188
2021-11-01,156.3555908203125
2021-12-01,160.77272033691406
2022-01-01,161.05984497070312
2022-02-01,157.12303161621094
2022-03-01,156.35946655273438
2022-04-01,161.32742309570312
2022-05-01,159.595947265625
2022-06-01,165.39927673339844
2022-07-01,166.08544921875
2022-08-01,158.93679809570312
2022-09-01,151.21322631835938
2022-10-01,150.85391235351562
2022-11-01,158.60275268554688
2022-12-01,163.765625
2023-01-01,171.12478637695312
2023-02-01,168.007568359375
2023-03-01,167.63595581054688
