ds,Vegetables and vegetable preparations
2021-10-01,148.97085571289062
2021-11-01,157.64755249023438
2021-12-01,161.39077758789062
2022-01-01,166.98968505859375
2022-02-01,166.61236572265625
2022-03-01,168.58157348632812
2022-04-01,167.70428466796875
2022-05-01,170.93405151367188
2022-06-01,174.60516357421875
2022-07-01,172.92373657226562
2022-08-01,164.46533203125
2022-09-01,156.89068603515625
2022-10-01,159.16046142578125
2022-11-01,167.31588745117188
2022-12-01,169.67579650878906
2023-01-01,174.14573669433594
2023-02-01,174.49310302734375
2023-03-01,174.6630401611328
