ds,Vegetables and vegetable preparations
2021-10-01,145.9774169921875
2021-11-01,150.26382446289062
2021-12-01,151.43150329589844
2022-01-01,157.83242797851562
2022-02-01,166.91217041015625
2022-03-01,167.031494140625
2022-04-01,173.05331420898438
2022-05-01,183.09085083007812
2022-06-01,195.05267333984375
2022-07-01,195.51881408691406
2022-08-01,187.983154296875
2022-09-01,180.02102661132812
2022-10-01,181.87823486328125
2022-11-01,187.52392578125
2022-12-01,195.18841552734375
2023-01-01,199.0740966796875
2023-02-01,200.64552307128906
2023-03-01,204.50608825683594
