,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2021-10-01,158.059,147.39128,146.97424,166.35788,157.22232,140.46133,181.77254,142.71432,148.34386
2021-11-01,158.79439,147.59375,146.92679,166.93106,158.6018,141.80151,180.89581,142.80305,152.22815
2021-12-01,160.05272,147.73805,146.85072,166.89447,159.4749,143.76476,179.74432,142.83061,157.31192
2022-01-01,160.26987,147.51067,147.19421,167.16896,160.36914,144.02312,180.11761,144.13231,159.45503
2022-02-01,160.1611,148.5342,147.762,167.89879,160.74962,143.92831,181.54811,144.38524,159.98964
2022-03-01,160.57964,148.25716,147.60326,167.66028,160.79933,142.7699,182.87512,144.84547,156.82207
2022-04-01,160.36467,148.92096,148.08879,167.52785,160.71124,142.98198,183.1991,144.9938,154.3646
2022-05-01,159.56152,148.97258,147.9746,167.93561,160.79716,143.53206,182.19426,143.91943,155.66373
2022-06-01,159.69624,149.2492,148.40662,168.60205,161.95792,145.01288,184.97186,144.46669,159.84213
2022-07-01,160.44286,149.50829,149.40607,168.70924,162.15672,145.2802,186.84233,144.49869,159.549
2022-08-01,161.40584,149.60579,149.80293,170.15427,162.458,145.06686,183.93459,145.17833,158.12834
2022-09-01,161.56784,149.06805,148.70918,170.14563,161.73235,142.98094,185.0451,145.12587,152.27719
2022-10-01,161.63326,149.1092,149.47624,170.56468,161.96301,142.72789,185.12665,144.35558,151.27328
2022-11-01,162.21552,148.96385,149.14165,171.01901,162.32446,144.95427,185.24054,144.08858,156.729
2022-12-01,162.4386,148.85954,149.66171,170.3634,162.94218,146.42926,184.09454,144.5643,160.75215
2023-01-01,162.53012,149.67325,149.67169,170.36115,164.22234,147.28833,185.25682,145.49477,164.38881
2023-02-01,163.6698,149.72897,150.85057,170.68501,165.63884,147.87479,184.80002,146.57784,164.54245
2023-03-01,164.44492,149.75623,152.38176,171.4909,165.29161,146.6986,185.93616,147.06657,164.17752
