REF_DATE,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2019-08-01,153.99422,137.259,141.92993,156.20969,150.69353,136.2526,163.33781,136.40656,153.162
2019-09-01,154.66595,137.743,141.88808,156.51602,149.92503,134.01788,163.21332,136.82986,149.30269
2019-10-01,154.95999,137.6934,141.03517,157.50922,150.93677,133.69757,164.06487,136.76064,149.37746
2019-11-01,154.77142,137.44867,141.3713,156.66626,150.43005,135.81567,162.15967,136.18158,154.25839
2019-12-01,154.36182,137.13026,141.01987,157.13297,150.97816,137.58006,162.58047,136.5537,157.26007
2020-01-01,155.90744,141.09048,143.7246,159.03127,153.0461,140.12276,164.27701,139.17027,163.84721
2020-02-01,154.72287,140.4667,143.43446,157.86354,151.51834,138.18414,163.04103,139.08983,162.17424
2020-03-01,154.51855,139.75809,142.74364,157.89268,152.31122,137.01817,162.72221,139.00594,159.54121
2020-04-01,156.16144,140.09259,143.31082,158.98056,152.7328,137.50584,163.41144,140.14627,158.57916
2020-05-01,156.50815,142.35493,144.63515,159.77477,153.39413,139.33469,163.08562,140.99966,158.57121
2020-06-01,157.30771,141.79892,145.35057,160.61285,153.45676,138.56561,163.75719,140.67723,158.12785
2020-07-01,157.4176,142.68462,145.6734,159.984,153.85667,139.4695,165.01114,142.13255,155.98508
2020-08-01,156.40143,141.5423,144.89268,159.79483,152.50998,137.31569,164.70476,141.29002,152.92255
2020-09-01,154.64534,141.50482,144.1532,159.87202,151.61383,135.26125,162.34167,140.85675,147.40024
2020-10-01,156.35262,143.76772,143.45715,160.2717,152.80383,134.66614,163.63623,141.27434,145.3884
2020-11-01,156.08665,143.14655,145.77449,161.10464,152.84904,135.90585,163.90613,141.10648,149.37903
2020-12-01,156.82204,143.15253,144.15028,160.34723,152.66759,136.31068,162.61461,141.01508,151.81195
2021-01-01,157.15895,141.57532,146.59811,161.89594,154.5187,138.20552,163.0854,140.80496,155.36838
