,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2021-10-01,159.60374,148.28056,146.83794,166.71498,159.09935,142.92494,183.17575,144.06,151.63838
2021-11-01,158.24463,148.14905,146.66936,166.43622,158.21747,142.9428,183.1989,143.28325,154.009
2021-12-01,158.15839,148.31693,146.64061,166.93776,159.27927,143.19016,182.89908,143.46451,154.40521
2022-01-01,159.05185,149.50417,148.33383,168.46225,160.02605,144.66893,183.54416,144.3411,157.74823
2022-02-01,159.15472,149.6333,147.36765,168.20273,160.14958,144.29037,184.84587,145.0226,158.20377
2022-03-01,159.22612,149.25597,148.47746,169.07063,161.08618,145.41316,185.32089,145.20786,157.39087
2022-04-01,159.26318,150.25496,148.3899,168.30296,160.61327,143.08119,186.36526,145.87386,155.42438
2022-05-01,158.80605,148.78249,148.2438,167.92615,160.21397,144.26266,185.47246,144.51509,155.70676
2022-06-01,159.65453,149.67415,149.86366,170.12059,161.44739,145.6416,186.98799,145.06659,159.82771
2022-07-01,160.84079,151.58478,150.0729,169.88945,162.13428,145.75441,187.93558,146.16699,154.82413
2022-08-01,160.42793,150.82188,149.63565,170.39119,161.71205,144.65205,187.72571,146.21721,154.7219
2022-09-01,159.74706,151.70375,151.09534,172.17216,162.33865,145.32468,189.86932,147.07158,151.97032
2022-10-01,160.58916,152.10822,150.23582,171.94771,162.3424,145.47981,189.87068,146.72186,153.53108
2022-11-01,160.10986,149.84142,150.15646,170.8567,162.32703,144.12354,188.00594,146.05019,155.07802
2022-12-01,159.62514,151.04337,148.90427,170.46263,161.5127,144.95074,187.60278,145.15915,155.84042
2023-01-01,162.06442,151.60828,151.07133,172.1495,163.4966,146.8668,188.56258,147.60165,160.47154
2023-02-01,159.77414,150.04973,149.42297,169.95386,161.86348,144.74757,186.37311,146.23503,158.93657
2023-03-01,160.5701,153.20581,149.931,171.03902,162.67436,146.06711,188.13382,146.89737,159.84212
