,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2015-08-01,154.85165,136.86327,125.69379,138.68921,140.50813,132.44032,158.35849,133.49663,129.53479
2015-09-01,156.12602,137.10167,125.88179,139.57498,140.69354,132.12451,158.39853,134.01186,127.60392
2015-10-01,156.92438,137.12427,126.04036,139.7884,141.16461,132.86429,158.39055,133.75032,128.26395
2015-11-01,157.32086,138.17612,126.475105,141.19835,142.67073,134.6615,161.24228,134.66893,128.93913
2015-12-01,156.28941,137.70042,125.998856,140.07925,141.80597,133.90149,159.5693,134.02376,131.25865
2016-01-01,157.18987,137.71622,127.01026,140.90456,142.71573,133.97061,161.0224,134.91664,132.87401
2016-02-01,157.36377,137.95369,127.398796,141.1731,142.9108,134.05057,161.55614,134.97052,135.24757
2016-03-01,157.8272,138.01823,126.490585,139.99492,142.59473,133.13768,162.20189,135.42087,135.3887
2016-04-01,158.59863,139.54051,127.3829,141.6458,143.60622,134.21448,161.42253,136.42403,134.68556
2016-05-01,158.52505,138.81396,129.09311,141.5659,144.22473,136.15202,163.41629,136.08563,135.7192
2016-06-01,159.73058,139.40237,128.61621,142.46371,145.09029,136.09554,164.90836,136.82703,136.40144
2016-07-01,160.51381,139.6227,129.7112,143.19452,145.36389,137.28798,165.06772,137.24304,134.92137
2016-08-01,160.23227,140.22589,128.92416,142.57025,144.90002,137.19778,164.39525,137.2233,132.5457
2016-09-01,158.06598,138.65106,128.43141,141.74956,143.49834,134.76256,163.58601,135.6,131.44699
2016-10-01,160.07904,139.43411,129.1017,143.13916,144.36484,135.59395,165.59782,136.22842,131.19862
2016-11-01,159.46907,138.81561,128.29427,142.74165,144.50145,135.58887,164.70523,135.9403,133.14482
2016-12-01,158.99602,138.68042,128.73865,143.21245,144.88576,136.40651,166.33824,135.70003,134.31007
2017-01-01,158.98857,139.43323,129.28947,143.17365,145.1887,137.08408,166.83011,136.23691,135.12988
