REF_DATE,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2016-08-01,153.24261474609375,132.70419311523438,130.22772216796875,142.6385498046875,141.1715087890625,131.15504455566406,159.9095916748047,131.6866912841797,122.22383117675781
2016-09-01,152.50741577148438,133.1123046875,129.90554809570312,142.20285034179688,140.98916625976562,128.5616912841797,159.38096618652344,132.2855224609375,114.05740356445312
2016-10-01,152.58822631835938,132.33216857910156,129.70217895507812,142.10076904296875,141.4322967529297,128.232421875,159.32275390625,130.97781372070312,117.01127624511719
2016-11-01,151.52377319335938,133.1328125,129.2930908203125,143.63453674316406,141.6484375,128.7668914794922,160.44178771972656,131.31582641601562,121.59397888183594
2016-12-01,152.8753662109375,132.82081604003906,127.87387084960938,142.3620147705078,141.82579040527344,132.01824951171875,162.2998046875,129.95516967773438,124.34709167480469
2017-01-01,152.5875701904297,134.23635864257812,129.89486694335938,143.58843994140625,143.05511474609375,134.9251708984375,162.37228393554688,132.34567260742188,126.73454284667969
2017-02-01,152.9855499267578,134.04876708984375,129.1524200439453,143.26063537597656,144.6993408203125,136.27426147460938,165.236083984375,132.8138427734375,126.96463012695312
2017-03-01,152.23342895507812,134.0497589111328,128.6429901123047,144.18954467773438,142.95437622070312,133.0688018798828,166.01113891601562,133.40225219726562,126.63833618164062
2017-04-01,155.3623504638672,132.81568908691406,129.85812377929688,144.38551330566406,144.72683715820312,134.42784118652344,165.6952667236328,132.35208129882812,128.12257385253906
2017-05-01,154.15579223632812,133.74114990234375,130.47186279296875,144.72377014160156,144.82814025878906,135.40028381347656,165.82699584960938,131.72410583496094,129.76193237304688
2017-06-01,153.5870361328125,132.83920288085938,131.53640747070312,144.84027099609375,145.48736572265625,134.37742614746094,168.59500122070312,132.32513427734375,133.69354248046875
2017-07-01,152.8775634765625,133.45628356933594,130.8409423828125,144.33290100097656,145.41102600097656,135.42291259765625,168.8324737548828,131.74143981933594,130.21238708496094
2017-08-01,153.62799072265625,132.87786865234375,130.39073181152344,144.60301208496094,145.7719268798828,135.6081085205078,170.9932861328125,132.92813110351562,123.51272583007812
2017-09-01,152.68121337890625,134.32183837890625,130.04205322265625,145.59027099609375,145.17254638671875,132.90847778320312,173.4190216064453,132.92510986328125,118.17472839355469
2017-10-01,154.818603515625,131.790771484375,128.47702026367188,146.40435791015625,144.74029541015625,133.58331298828125,172.27227783203125,133.4035186767578,119.13438415527344
2017-11-01,154.76181030273438,132.24029541015625,129.59124755859375,144.8349609375,145.77032470703125,135.07940673828125,174.32675170898438,132.64675903320312,127.05890655517578
2017-12-01,153.07028198242188,132.34030151367188,127.19395446777344,146.34884643554688,145.12115478515625,139.02664184570312,173.97564697265625,131.52609252929688,131.4561004638672
2018-01-01,153.05775451660156,132.6489715576172,128.89122009277344,145.85948181152344,147.43963623046875,141.90713500976562,177.771484375,133.8437957763672,133.89654541015625
