REF_DATE,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2015-08-01,157.51034545898438,143.77597045898438,124.09090423583984,138.27301025390625,139.4624786376953,126.86155700683594,152.40243530273438,130.95755004882812,121.98689270019531
2015-09-01,158.630859375,143.52334594726562,122.36625671386719,138.3424835205078,136.96841430664062,124.64871215820312,153.80479431152344,129.61366271972656,112.1064453125
2015-10-01,159.1077880859375,141.2347412109375,121.78507995605469,138.9912109375,137.8925323486328,124.56044006347656,152.58590698242188,128.6668701171875,108.81581115722656
2015-11-01,159.09075927734375,140.91070556640625,120.76936340332031,139.05233764648438,138.6610107421875,128.03399658203125,152.22210693359375,128.72064208984375,115.66606140136719
2015-12-01,158.85125732421875,141.29638671875,123.03429412841797,138.92189025878906,139.080322265625,127.54769134521484,152.38905334472656,128.98037719726562,115.84479522705078
2016-01-01,160.32481384277344,141.717529296875,124.79277801513672,140.06961059570312,139.72532653808594,129.17649841308594,155.87094116210938,129.45677185058594,124.98146057128906
2016-02-01,159.35525512695312,142.64004516601562,124.69928741455078,139.9127197265625,139.80694580078125,128.2244873046875,153.57791137695312,131.1695556640625,124.75570678710938
2016-03-01,159.14175415039062,142.53814697265625,125.39797973632812,139.7176513671875,140.58810424804688,129.9895782470703,154.33518981933594,131.3969268798828,124.05561828613281
2016-04-01,161.3131866455078,141.80856323242188,125.22702026367188,140.4176025390625,140.870361328125,131.8721466064453,154.79776000976562,131.34054565429688,123.87297821044922
2016-05-01,161.301513671875,142.87789916992188,126.35791015625,140.83636474609375,140.0401153564453,132.71917724609375,156.77783203125,130.07464599609375,123.04074096679688
2016-06-01,162.10528564453125,142.91342163085938,127.85316467285156,140.77285766601562,141.81582641601562,133.46400451660156,156.3642120361328,128.88558959960938,125.268798828125
2016-07-01,163.32144165039062,141.31155395507812,128.33779907226562,141.9931182861328,141.1121826171875,133.8249053955078,157.95172119140625,130.56298828125,126.46946716308594
2016-08-01,164.0281982421875,141.6481170654297,126.97183227539062,141.84449768066406,139.78570556640625,136.50572204589844,158.19309997558594,131.03994750976562,123.26717376708984
2016-09-01,161.635498046875,142.15615844726562,126.41158294677734,141.85397338867188,140.20648193359375,131.70217895507812,157.98403930664062,132.04336547851562,112.06379699707031
2016-10-01,161.81292724609375,140.6053466796875,127.11945343017578,142.5167999267578,139.787841796875,132.527587890625,160.57843017578125,129.76657104492188,111.27069854736328
2016-11-01,162.5400390625,140.15338134765625,125.29042053222656,142.6217041015625,141.2280731201172,133.0821075439453,160.9716339111328,129.77886962890625,120.97633361816406
2016-12-01,162.03781127929688,140.38314819335938,125.8917236328125,142.98397827148438,141.82809448242188,133.585205078125,162.30255126953125,129.98631286621094,124.80123901367188
2017-01-01,159.9517364501953,140.65994262695312,127.5126953125,143.34332275390625,141.9282989501953,133.88015747070312,162.90512084960938,131.37057495117188,127.65938568115234
