REF_DATE,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2020-08-01,151.42410278320312,136.19830322265625,145.93064880371094,160.8331298828125,152.13397216796875,142.71018981933594,175.42300415039062,135.48272705078125,147.67051696777344
2020-09-01,150.11758422851562,134.77737426757812,146.93470764160156,161.24725341796875,151.66958618164062,136.96795654296875,178.11912536621094,136.07337951660156,141.24508666992188
2020-10-01,152.76312255859375,136.97357177734375,147.43936157226562,161.97540283203125,151.8369140625,138.6477508544922,175.91464233398438,135.64288330078125,142.159912109375
2020-11-01,152.48794555664062,137.94937133789062,146.73321533203125,163.01058959960938,153.3602294921875,140.15225219726562,176.3530731201172,135.37127685546875,147.64901733398438
2020-12-01,153.2796630859375,137.0030517578125,147.1309814453125,163.58151245117188,152.79888916015625,144.0665283203125,175.89988708496094,134.80593872070312,150.32289123535156
2021-01-01,152.0240936279297,136.99822998046875,148.289306640625,162.6974334716797,154.02154541015625,144.3192596435547,175.41744995117188,136.8214111328125,153.56256103515625
2021-02-01,152.28622436523438,140.32205200195312,150.06163024902344,164.0441436767578,153.2646026611328,141.97418212890625,176.99314880371094,136.65013122558594,152.0301055908203
2021-03-01,152.63064575195312,137.80685424804688,148.48855590820312,164.68246459960938,153.15396118164062,141.27957153320312,176.53643798828125,137.92718505859375,151.06491088867188
2021-04-01,154.2972412109375,139.38729858398438,149.58114624023438,164.14645385742188,154.28671264648438,142.11651611328125,177.12933349609375,137.87164306640625,152.36407470703125
2021-05-01,153.4151153564453,136.23748779296875,151.3107452392578,163.73764038085938,154.58950805664062,145.03164672851562,176.90194702148438,137.99636840820312,152.88314819335938
2021-06-01,153.88653564453125,139.57571411132812,151.76104736328125,165.68740844726562,154.45114135742188,148.94479370117188,178.91488647460938,139.41427612304688,156.82479858398438
2021-07-01,151.94137573242188,137.9088592529297,151.9943389892578,166.08786010742188,155.58065795898438,148.43482971191406,177.3249053955078,137.8756103515625,153.9346923828125
2021-08-01,154.90966796875,139.93931579589844,152.83560180664062,166.19085693359375,154.12013244628906,147.3546142578125,178.0194549560547,137.95095825195312,148.05609130859375
2021-09-01,153.672607421875,139.30154418945312,152.92529296875,167.16458129882812,154.11648559570312,144.05404663085938,179.1117706298828,138.262939453125,141.87960815429688
