REF_DATE,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2016-08-01,158.63954162597656,133.47463989257812,131.6231231689453,141.97882080078125,143.32745361328125,136.17825317382812,166.353515625,132.88912963867188,133.51515197753906
2016-09-01,156.71292114257812,133.69546508789062,129.39569091796875,141.73196411132812,143.57681274414062,133.72866821289062,164.7397918701172,136.10159301757812,126.28987121582031
2016-10-01,156.20980834960938,132.95455932617188,131.79946899414062,140.763427734375,141.86358642578125,134.28472900390625,164.3549346923828,135.36793518066406,127.42475891113281
2016-11-01,157.25392150878906,135.22076416015625,131.44781494140625,141.52633666992188,142.83544921875,134.44093322753906,166.90374755859375,135.40660095214844,133.22506713867188
2016-12-01,157.991943359375,134.21176147460938,130.40402221679688,141.9474639892578,145.49655151367188,136.02099609375,169.20376586914062,134.280029296875,135.05838012695312
2017-01-01,153.9236602783203,135.597412109375,133.9127197265625,141.50425720214844,146.4749298095703,140.580078125,169.63177490234375,135.46102905273438,137.9766387939453
2017-02-01,159.02957153320312,137.25250244140625,129.55435180664062,144.00067138671875,146.51771545410156,137.81271362304688,170.74551391601562,137.33570861816406,136.7454833984375
2017-03-01,156.79354858398438,134.7634735107422,130.9918670654297,142.46209716796875,145.01866149902344,139.65133666992188,169.02108764648438,136.03372192382812,134.98309326171875
2017-04-01,156.06683349609375,135.57208251953125,132.218017578125,143.543701171875,146.38800048828125,139.64352416992188,173.608154296875,138.32431030273438,134.88916015625
2017-05-01,156.08609008789062,136.37684631347656,135.0343017578125,143.20089721679688,145.59091186523438,140.62037658691406,173.58761596679688,136.74459838867188,138.64886474609375
2017-06-01,155.5069580078125,135.27532958984375,132.63442993164062,144.46832275390625,147.99925231933594,140.787841796875,174.1912841796875,136.16717529296875,140.9163818359375
2017-07-01,159.05567932128906,135.71109008789062,132.8575439453125,144.92820739746094,146.06028747558594,140.8460235595703,176.01800537109375,138.08547973632812,140.26318359375
2017-08-01,158.58567810058594,134.90487670898438,132.46353149414062,144.60272216796875,147.77099609375,141.09307861328125,176.04620361328125,138.35414123535156,134.3119659423828
2017-09-01,153.16397094726562,134.52243041992188,132.7942657470703,146.64263916015625,149.21441650390625,137.9009552001953,177.24325561523438,137.65701293945312,128.57815551757812
2017-10-01,156.7689971923828,133.42041015625,134.58480834960938,146.09429931640625,146.0377960205078,138.64894104003906,178.43438720703125,137.18145751953125,129.34051513671875
2017-11-01,154.65635681152344,134.54690551757812,130.70635986328125,146.41513061523438,148.0054473876953,139.7410888671875,177.33767700195312,139.4088134765625,140.65914916992188
2017-12-01,155.5114288330078,135.5710906982422,132.45407104492188,146.42999267578125,148.381103515625,141.70367431640625,177.02281188964844,139.513916015625,143.36483764648438
2018-01-01,153.48995971679688,133.99949645996094,135.38143920898438,146.16171264648438,147.36099243164062,144.99163818359375,179.85755920410156,139.94448852539062,143.06507873535156
