REF_DATE,Bakery and cereal products (excluding baby food),Vegetables and vegetable preparations,Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages
2016-08-01,124.21058654785156,123.8719482421875,124.29391479492188,123.5765380859375,124.6097412109375,123.46199798583984,123.36146545410156,124.61997985839844,124.04835510253906
2016-09-01,118.30963134765625,116.93025207519531,117.84027862548828,116.84967041015625,118.15296936035156,117.16545104980469,115.84329223632812,117.93724060058594,116.97235107421875
2016-10-01,120.4650650024414,120.32691192626953,120.11907958984375,118.74070739746094,120.73493957519531,118.58003997802734,118.62666320800781,120.85722351074219,119.96890258789062
2016-11-01,125.59959411621094,125.05848693847656,125.13784790039062,124.32634735107422,125.36021423339844,125.09520721435547,124.66834259033203,125.66874694824219,125.18805694580078
2016-12-01,128.20912170410156,128.13510131835938,127.49937438964844,126.38946533203125,129.42105102539062,127.2603988647461,127.27375030517578,128.0268096923828,127.94113159179688
2017-01-01,129.9219207763672,129.11920166015625,130.1402130126953,128.98988342285156,129.9412078857422,128.5091552734375,128.61680603027344,129.97093200683594,129.15525817871094
2017-02-01,129.8253173828125,129.10977172851562,129.53561401367188,128.44683837890625,130.55404663085938,127.83029174804688,128.01609802246094,129.9395751953125,128.8922119140625
2017-03-01,128.0915985107422,128.1336669921875,128.7823944091797,127.60132598876953,129.18946838378906,127.26937103271484,126.8003158569336,128.60098266601562,127.66462707519531
2017-04-01,131.36050415039062,130.886474609375,131.8046417236328,130.70724487304688,132.09454345703125,130.89389038085938,130.21946716308594,131.74635314941406,130.5980224609375
2017-05-01,134.87754821777344,133.7545166015625,134.15673828125,133.4221649169922,135.11532592773438,133.93804931640625,132.66268920898438,134.40130615234375,134.0722198486328
2017-06-01,138.76272583007812,137.28274536132812,138.85775756835938,137.14688110351562,138.69552612304688,137.55003356933594,136.96682739257812,138.66595458984375,137.49696350097656
2017-07-01,132.9350128173828,131.4269256591797,132.5828094482422,131.4932403564453,132.98936462402344,132.78749084472656,130.39730834960938,132.75132751464844,132.02462768554688
2017-08-01,123.98539733886719,123.68063354492188,124.15625762939453,123.32254028320312,124.88999938964844,123.82943725585938,122.46580505371094,124.49939727783203,123.80204772949219
2017-09-01,121.61862182617188,121.39527893066406,121.6180419921875,120.19581604003906,122.38355255126953,121.09681701660156,119.58921813964844,122.17225646972656,120.61134338378906
2017-10-01,126.00627136230469,124.532470703125,124.62322235107422,124.60775756835938,125.93231201171875,124.02854919433594,123.76659393310547,125.00936889648438,124.58964538574219
2017-11-01,130.7156982421875,130.66172790527344,130.4219970703125,129.77330017089844,132.689208984375,130.56155395507812,129.51242065429688,131.29345703125,130.3647003173828
2017-12-01,133.86331176757812,132.6144561767578,133.65966796875,132.7877655029297,134.69338989257812,133.7517547607422,132.98757934570312,134.41200256347656,133.07843017578125
2018-01-01,138.81390380859375,137.2482452392578,138.21937561035156,137.84896850585938,138.52676391601562,138.41555786132812,137.5746307373047,138.6214599609375,138.0087890625
