REF_DATE,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2016-08-01,153.52606201171875,131.3867950439453,134.38485717773438,143.08047485351562,140.07534790039062,134.83819580078125,156.85255432128906,132.64418029785156,128.43853759765625
2016-09-01,152.92184448242188,132.82350158691406,134.9536590576172,142.63125610351562,140.39065551757812,132.95516967773438,155.79635620117188,131.93209838867188,120.82758331298828
2016-10-01,155.19140625,131.84071350097656,135.1759490966797,142.8723907470703,140.11141967773438,134.25209045410156,155.68106079101562,132.64675903320312,122.30865478515625
2016-11-01,154.72225952148438,132.05029296875,135.22555541992188,143.28817749023438,140.52847290039062,135.51602172851562,156.34188842773438,132.3785858154297,127.82594299316406
2016-12-01,155.29708862304688,132.20748901367188,133.3715057373047,143.41207885742188,140.95220947265625,138.41836547851562,157.6026611328125,132.31884765625,131.22616577148438
2017-01-01,154.6652374267578,132.99404907226562,133.46881103515625,143.83290100097656,141.86300659179688,142.07064819335938,158.09841918945312,134.20114135742188,132.97555541992188
2017-02-01,156.31277465820312,133.54940795898438,134.867431640625,143.81982421875,142.86953735351562,142.80116271972656,156.71490478515625,133.88552856445312,132.90798950195312
2017-03-01,153.87161254882812,132.55772399902344,133.8946533203125,144.41744995117188,142.60789489746094,140.54269409179688,158.758544921875,133.5595703125,131.844970703125
2017-04-01,154.77130126953125,132.49636840820312,135.79623413085938,144.30905151367188,142.2232666015625,140.94189453125,159.7694091796875,134.64816284179688,134.08140563964844
2017-05-01,154.83799743652344,132.31329345703125,137.7831573486328,144.45755004882812,143.23435974121094,142.40521240234375,160.93089294433594,135.17446899414062,136.4230194091797
2017-06-01,156.076171875,131.0534210205078,135.8790283203125,144.9972686767578,143.69622802734375,142.07748413085938,161.32803344726562,134.50743103027344,140.0357208251953
2017-07-01,155.8079376220703,131.9149169921875,137.31126403808594,145.25439453125,143.50399780273438,141.21954345703125,163.4638671875,134.39649963378906,135.86236572265625
2017-08-01,155.83250427246094,130.96719360351562,137.62982177734375,145.05715942382812,143.58538818359375,142.62060546875,164.52783203125,135.43959045410156,128.96278381347656
2017-09-01,153.64190673828125,130.8142547607422,137.85406494140625,145.6533203125,142.0740966796875,139.69808959960938,164.96041870117188,134.68191528320312,122.61607360839844
2017-10-01,155.8771514892578,130.09918212890625,136.31707763671875,145.81634521484375,143.10342407226562,139.64283752441406,166.1328125,135.1602020263672,123.812744140625
2017-11-01,155.8388214111328,131.78819274902344,136.88870239257812,145.833251953125,143.5419921875,141.6645965576172,166.22210693359375,135.18206787109375,132.57705688476562
2017-12-01,154.45045471191406,131.28662109375,137.259521484375,146.72665405273438,144.6337890625,145.39816284179688,166.4716796875,134.28150939941406,137.03729248046875
2018-01-01,153.81051635742188,131.33766174316406,138.80819702148438,147.04083251953125,146.65945434570312,150.0615692138672,167.30801391601562,136.0474853515625,139.98171997070312
