REF_DATE,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2019-08-01,148.74705505371094,134.28480529785156,143.89950561523438,157.8376922607422,149.73464965820312,134.98727416992188,157.68057250976562,136.693359375,150.09124755859375
2019-09-01,146.56039428710938,135.52439880371094,144.35787963867188,158.45321655273438,149.75277709960938,131.34512329101562,157.82669067382812,135.63796997070312,144.91835021972656
2019-10-01,149.61483764648438,132.69113159179688,142.07977294921875,157.82196044921875,149.0565185546875,129.8901824951172,157.88409423828125,135.25067138671875,140.2705078125
2019-11-01,148.23098754882812,134.1637420654297,141.99278259277344,159.043701171875,149.7981719970703,134.83126831054688,157.93356323242188,134.85748291015625,148.85377502441406
2019-12-01,148.7139434814453,132.03347778320312,142.24050903320312,159.29415893554688,150.4470977783203,135.04759216308594,157.28005981445312,135.15245056152344,150.14352416992188
2020-01-01,146.82025146484375,132.8759002685547,142.4683837890625,159.91632080078125,151.29440307617188,139.8188018798828,158.99945068359375,136.1463623046875,152.8974609375
2020-02-01,148.49542236328125,134.0425262451172,144.13534545898438,160.20703125,150.43150329589844,139.38746643066406,158.41944885253906,136.57315063476562,151.08555603027344
2020-03-01,146.791748046875,134.09515380859375,146.47830200195312,160.95645141601562,151.21932983398438,138.76898193359375,158.15328979492188,135.91094970703125,151.94046020507812
2020-04-01,146.40562438964844,132.8291015625,145.54620361328125,161.37118530273438,149.3820037841797,137.31076049804688,157.47323608398438,136.1759796142578,151.70684814453125
2020-05-01,145.75308227539062,132.4893798828125,147.00088500976562,160.78720092773438,150.90127563476562,139.96295166015625,160.84149169921875,136.54705810546875,154.05548095703125
2020-06-01,146.79879760742188,131.63833618164062,144.25717163085938,161.56918334960938,150.90884399414062,141.59307861328125,160.32772827148438,135.6776123046875,157.36476135253906
2020-07-01,145.31312561035156,133.6460418701172,146.62957763671875,161.51031494140625,151.71629333496094,142.90817260742188,160.0704345703125,136.30526733398438,153.669677734375
2020-08-01,145.88052368164062,132.5946502685547,146.56784057617188,161.85238647460938,150.59925842285156,139.53707885742188,160.52679443359375,136.31243896484375,146.63836669921875
2020-09-01,144.8431854248047,131.4218292236328,145.2398681640625,162.18634033203125,150.41131591796875,135.565673828125,159.6115264892578,135.78428649902344,139.40338134765625
2020-10-01,146.63818359375,131.96612548828125,146.39602661132812,162.70748901367188,151.41220092773438,133.68109130859375,158.5917205810547,135.6874237060547,137.97714233398438
2020-11-01,144.22760009765625,132.52590942382812,146.821044921875,162.76971435546875,150.8758544921875,136.70326232910156,160.72259521484375,134.73703002929688,149.45486450195312
2020-12-01,143.88763427734375,131.5006866455078,147.56790161132812,163.9296417236328,149.87335205078125,136.49391174316406,161.49168395996094,134.81500244140625,149.8440704345703
2021-01-01,146.30325317382812,131.75909423828125,146.29336547851562,163.90415954589844,151.20220947265625,137.73471069335938,160.83059692382812,135.94583129882812,154.61123657226562
