REF_DATE,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2017-08-01,153.46051025390625,134.7227783203125,134.35964965820312,144.9056396484375,145.69317626953125,137.02972412109375,164.59243774414062,132.34353637695312,129.02392578125
2017-09-01,150.40052795410156,133.82688903808594,136.47381591796875,144.0503692626953,144.40496826171875,134.3028106689453,165.28924560546875,132.53353881835938,122.51065063476562
2017-10-01,152.86891174316406,133.49172973632812,133.88075256347656,145.77732849121094,145.31492614746094,135.66070556640625,162.65402221679688,132.77418518066406,125.44364929199219
2017-11-01,151.609130859375,134.914306640625,135.36410522460938,143.84423828125,143.64559936523438,138.1144256591797,168.800048828125,132.39578247070312,133.72943115234375
2017-12-01,152.99905395507812,133.34523010253906,136.53208923339844,146.44955444335938,146.24063110351562,141.29640197753906,167.6635284423828,133.06199645996094,137.89405822753906
2018-01-01,153.80580139160156,134.74798583984375,136.29269409179688,147.9578857421875,146.49777221679688,143.25839233398438,167.618896484375,134.24395751953125,143.30064392089844
2018-02-01,156.2034912109375,133.0970916748047,137.2982177734375,146.1015625,146.38168334960938,144.01048278808594,168.30343627929688,133.56044006347656,143.4027557373047
2018-03-01,154.47119140625,134.13426208496094,136.8662109375,146.77830505371094,146.8165740966797,142.60269165039062,171.00234985351562,134.95294189453125,141.83905029296875
2018-04-01,156.19317626953125,134.3261260986328,136.458984375,148.2379913330078,148.3316650390625,142.6234588623047,174.80775451660156,135.23280334472656,140.28573608398438
2018-05-01,154.3294219970703,133.35824584960938,140.79776000976562,146.70431518554688,148.9681854248047,146.50863647460938,174.0694580078125,135.796630859375,144.1195526123047
2018-06-01,153.98541259765625,134.14346313476562,143.8716583251953,148.51541137695312,148.18138122558594,145.41891479492188,175.93505859375,134.90037536621094,146.6353759765625
2018-07-01,155.88778686523438,133.11959838867188,140.07032775878906,148.74072265625,148.14894104003906,145.9864501953125,176.45664978027344,136.02040100097656,142.67611694335938
2018-08-01,154.50942993164062,136.11257934570312,140.36485290527344,148.0661163330078,147.9794921875,145.54608154296875,180.90029907226562,135.59326171875,134.9270782470703
2018-09-01,155.44509887695312,134.71560668945312,139.25604248046875,150.65603637695312,148.68185424804688,143.28097534179688,179.669677734375,136.0801239013672,128.90621948242188
2018-10-01,154.1356658935547,134.22512817382812,139.46371459960938,150.17770385742188,147.64669799804688,142.91656494140625,181.6082763671875,135.89642333984375,132.93116760253906
2018-11-01,154.7060546875,134.1894989013672,140.3140411376953,151.41844177246094,148.1275634765625,144.4197235107422,180.81832885742188,135.11143493652344,140.04652404785156
2018-12-01,154.2667236328125,132.81602478027344,137.87696838378906,152.13064575195312,149.02297973632812,145.459716796875,180.67214965820312,134.8322296142578,142.80224609375
2019-01-01,153.24697875976562,131.8104248046875,140.05047607421875,152.16360473632812,149.1938934326172,147.32980346679688,182.6956329345703,136.1272735595703,146.9097442626953
