,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-08-31,165.2491520015742,164.59857706899228,165.80376881411135,165.2491520015742,165.2491520015742,-0.027769754555362645,-0.027769754555362645,-0.027769754555362645,-0.027769754555362645,-0.027769754555362645,-0.027769754555362645,0.0,0.0,0.0,165.22138224701885
1,2021-09-30,165.59974773553296,165.05352589249958,166.30358476998782,165.59974773553296,165.59974773553296,0.09605737914921121,0.09605737914921121,0.09605737914921121,0.09605737914921121,0.09605737914921121,0.09605737914921121,0.0,0.0,0.0,165.69580511468217
2,2021-10-31,165.9620299939571,165.50902354665553,166.77157727094092,165.9620299939571,165.9620299939571,0.16583832210976526,0.16583832210976526,0.16583832210976526,0.16583832210976526,0.16583832210976526,0.16583832210976526,0.0,0.0,0.0,166.12786831606687
3,2021-11-30,166.3126257279159,165.68190879043047,166.92774913417819,166.3101558178396,166.31776816420984,-0.01365425554837416,-0.01365425554837416,-0.01365425554837416,-0.01365425554837416,-0.01365425554837416,-0.01365425554837416,0.0,0.0,0.0,166.29897147236753
4,2021-12-31,166.67490798634,166.16350383555815,167.38869472005035,166.65424588342833,166.70338032618315,0.09304405055321913,0.09304405055321913,0.09304405055321913,0.09304405055321913,0.09304405055321913,0.09304405055321913,0.0,0.0,0.0,166.76795203689323
5,2022-01-31,167.03719024476408,166.12634158060462,167.42972946706846,166.99020572355298,167.09825606580947,-0.22219337680244658,-0.22219337680244658,-0.22219337680244658,-0.22219337680244658,-0.22219337680244658,-0.22219337680244658,0.0,0.0,0.0,166.81499686796164
6,2022-02-28,167.3644129297923,167.17143719063895,168.47417256598365,167.28279787246734,167.4511919780537,0.461712716446726,0.461712716446726,0.461712716446726,0.461712716446726,0.461712716446726,0.461712716446726,0.0,0.0,0.0,167.82612564623903
7,2022-03-31,167.72669518821638,167.249934089235,168.46649661476346,167.6071876209013,167.85352070975603,0.15239195029624927,0.15239195029624927,0.15239195029624927,0.15239195029624927,0.15239195029624927,0.15239195029624927,0.0,0.0,0.0,167.87908713851263
8,2022-04-30,168.07729092217522,167.4979951557416,168.8737806029487,167.92429124983965,168.25470073773423,0.11300189816291024,0.11300189816291024,0.11300189816291024,0.11300189816291024,0.11300189816291024,0.11300189816291024,0.0,0.0,0.0,168.19029282033813
9,2022-05-31,168.4395731805993,167.66194527248598,169.04594114174097,168.2353479548966,168.68597382904548,-0.10274336327962437,-0.10274336327962437,-0.10274336327962437,-0.10274336327962437,-0.10274336327962437,-0.10274336327962437,0.0,0.0,0.0,168.33682981731968
10,2022-06-30,168.7901689145581,168.09916982936113,169.555982842604,168.5380642932001,169.08381928406666,0.022831173523474243,0.022831173523474243,0.022831173523474243,0.022831173523474243,0.022831173523474243,0.022831173523474243,0.0,0.0,0.0,168.8130000880816
11,2022-07-31,169.1524511729822,168.60367368821608,170.0193403823589,168.84821682593818,169.5180218653406,0.1409685673318681,0.1409685673318681,0.1409685673318681,0.1409685673318681,0.1409685673318681,0.1409685673318681,0.0,0.0,0.0,169.29341974031408
12,2022-08-31,169.51473343140628,168.7046427770894,170.2757269922695,169.13764551463092,169.96415141221524,-0.03188538550535501,-0.03188538550535501,-0.03188538550535501,-0.03188538550535501,-0.03188538550535501,-0.03188538550535501,0.0,0.0,0.0,169.48284804590094
13,2022-09-30,169.86532916536515,169.18698827309467,170.7940602907159,169.45226745288238,170.393478590548,0.11293616298271711,0.11293616298271711,0.11293616298271711,0.11293616298271711,0.11293616298271711,0.11293616298271711,0.0,0.0,0.0,169.97826532834787
14,2022-10-31,170.22761142378923,169.5685646345857,171.31217078854894,169.75967637984013,170.84273194366975,0.20682877333612446,0.20682877333612446,0.20682877333612446,0.20682877333612446,0.20682877333612446,0.20682877333612446,0.0,0.0,0.0,170.43444019712535
15,2022-11-30,170.57820715774804,169.6835271069905,171.55080647418652,170.06588531783103,171.27753490967245,-0.0047443901229522936,-0.0047443901229522936,-0.0047443901229522936,-0.0047443901229522936,-0.0047443901229522936,-0.0047443901229522936,0.0,0.0,0.0,170.57346276762507
16,2022-12-31,170.94048941617214,170.10121825675236,171.97911995490952,170.36178775638106,171.71504763865568,0.06200599138136923,0.06200599138136923,0.06200599138136923,0.06200599138136923,0.06200599138136923,0.06200599138136923,0.0,0.0,0.0,171.0024954075535
17,2023-01-31,171.30277167459622,170.0491344527304,172.01258901736645,170.6403255804271,172.16291338798482,-0.3253252230957829,-0.3253252230957829,-0.3253252230957829,-0.3253252230957829,-0.3253252230957829,-0.3253252230957829,0.0,0.0,0.0,170.97744645150044
