REF_DATE,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2016-08-01,158.33749527863014,137.98001551057862,129.20671643990403,142.13254156457296,143.73051122574992,138.43057502458075,161.54644069218367,135.5284820500363,130.07837684203994
2016-09-01,157.88873033783028,138.06212175752103,128.9565522551041,142.30212775063512,143.11454904277429,136.05687659889622,161.87090060702897,135.28074445604065,123.18683173261243
2016-10-01,158.95257237056563,137.70935747415484,129.08813510566944,142.5608823631141,143.21261916979438,135.70708578875121,161.5679817172944,135.20217604325566,123.5585185593311
2016-11-01,158.94699161339872,138.01676382128534,129.2913164141399,142.788864696488,143.96004114361307,135.95155503328124,162.14231870909938,135.37609477515105,130.57767811648404
2016-12-01,159.5484480465941,137.9361211789044,128.99448355389762,143.03701815871648,144.27689173396885,136.44670669095646,162.52372771484417,134.52973429392725,133.35057952392742
2017-01-01,159.16019772683978,138.2846168930695,130.0060806630836,143.49243340818546,145.12441050348517,136.71943208575235,163.33339311324062,136.10039016257227,137.5494761443903
2017-02-01,160.0265467855955,138.9571653184504,130.70689353037878,143.75190844876948,145.85023448439802,136.74895291078087,164.36797276610307,136.6202890263746,140.69928279006862
2017-03-01,159.86700013272667,138.7617698128374,130.49781586998367,143.8328432484021,145.6445973870164,136.40231122993976,164.3965877571605,136.7155175238173,138.19326613063998
2017-04-01,160.48038098799083,138.71979727391195,130.7473676772391,144.0453457954174,145.89374143056907,136.99051386171783,164.77426054556656,136.8678546015114,138.45609023746832
2017-05-01,160.2585732532714,138.92479404039216,131.5676264536917,144.27495222890548,146.36436888926968,139.77556965339272,165.74513777594947,136.66452667787917,139.2019396494665
2017-06-01,160.35565824607684,138.8157891930023,131.95038777457225,144.55223231289048,146.85115953256377,141.18999085983205,166.77514222899322,136.57156333105746,141.14612357849364
2017-07-01,160.64778246688013,138.7430840942069,132.51324224587557,144.86811459818267,147.12610170482466,142.2211171622591,167.45971009000596,136.77736750855976,140.19330757328316
2017-08-01,160.93351066151348,138.8702302438739,132.74352210860002,145.0718335309205,146.90038724859608,142.34839261237286,168.20290545356488,137.1290089832383,133.0138225244552
2017-09-01,160.4878793977553,138.9829692939138,132.60021491595137,145.2266216451004,146.36010831063095,139.91594898996308,168.68099038796993,136.98171950938317,126.87121082000742
2017-10-01,161.44906213310725,138.70942594492294,132.58732591568207,145.48434853255335,146.4725892575869,139.39411115996347,168.5611871634876,136.83728578736824,127.55627520520062
2017-11-01,161.6519410554611,138.97315430858086,132.73488588363307,145.7195585195544,147.2204567360988,139.7035968261817,169.20219586358323,136.86195274712023,134.42870959570172
2017-12-01,162.2570378685296,138.874893601772,132.47787475264644,145.94915153500074,147.5297460165891,140.00699174746035,169.42358192849943,136.10141411967206,137.31001382655143
2018-01-01,161.85260582464,139.18536296318425,133.55285041151623,146.40799764848796,148.42802895026676,140.75472880400105,170.13184700869877,137.72571804998577,141.72718086740983
