,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
0,153.19843824065356,134.4830944117443,144.22035922649465,155.34631660340614,149.29214953723397,142.85127909857803,168.04404928224574,136.11467446430274,140.58438377484572
1,152.42991039565038,134.56418427574837,144.27555840720646,155.56263774801994,148.80178515072498,139.9505925875568,168.46678729713207,136.124955304215,136.14171780766534
2,153.02901023629875,134.30024834163245,144.0141068343543,155.94540367387393,148.84134446762098,138.8159964965573,168.29988241523486,135.78355431139374,137.40273400007965
3,153.42758249074555,134.43686198403918,144.14865157333944,156.30483026472479,149.56482139207586,139.21343132962872,168.90616893983918,135.4263460546359,144.05292357704198
4,153.89637692822538,134.26839250375954,144.1108409946571,156.5306055574192,149.874795332251,139.31160810475026,168.63963254594682,134.80733227264997,147.5077062354663
5,153.29593560096058,134.42109641081373,145.33683387897347,157.07461407364508,150.8570710246694,140.99357945807762,169.17420342759092,136.4803905966905,152.25268587518715
6,153.52296852671978,134.9120876241367,145.59989275481362,157.26339120513583,150.82933144395813,140.4445059370682,169.47736136119696,136.68255038424564,149.9931537284517
7,153.51090608873804,134.79210882554858,145.80234344861444,157.53831990834277,151.02694252498966,139.57216114571315,170.11147079330757,136.77889008310513,151.03897225624974
8,153.93714005087975,134.73408576276566,146.21650267176557,157.87202736558055,151.28839303215722,140.34508819799433,170.1590825097311,137.03914388418843,151.78032226961272
9,153.47671519243636,134.85052968957714,147.09042505307977,158.15729355879972,151.7193043847736,143.144755493263,170.97111986558622,136.7746237760275,152.8233401506
10,153.28098704979232,134.5600512730367,147.62267297234126,158.53262421524659,152.10709349922408,144.6755208654449,171.8141965300031,136.55405963779316,154.08269002746275
11,153.46267955912813,134.4270185153237,148.3331263882654,158.8810063407896,152.3939426006675,145.35225551407066,172.55822767792384,136.81261911768968,153.47190682139285
12,153.58973577414508,134.53833842815362,148.68161268074783,159.18458992859894,152.15063412151642,144.70295592422156,173.17311180160647,137.09555806284322,147.58942201945626
13,152.70332241200714,134.36286350530335,148.40114132163706,159.39593740474268,151.40234445908536,142.4496242009733,173.37888620448766,136.5784655249979,140.801149186697
14,153.7270672906246,133.90898560966332,148.3017810437524,159.72476924155893,151.41005348179652,141.73873701525812,172.98519872303675,136.4592781863367,140.7951988570822
15,153.3627645283342,134.12536195337927,148.77901450804765,159.99394048565918,152.175066404206,142.43345684067683,173.4063975900646,136.58478256465392,148.05899284022362
16,153.8085044786387,134.05354168583162,148.54150710409635,160.2840104176055,152.44913420775285,142.95226350191498,173.5395091184684,135.69794742598683,150.9507283329792
17,153.2892992850116,134.3598413188635,149.8292917825588,160.86823025462368,153.26348029645862,143.35041267152644,173.8551828619127,137.2477802645735,154.94575001574128
